sim_id,p_launch_time,p_latitude,p_longitude,p_altitude,p_balloon_mass,p_payload_mass,p_neck_lift,p_burst_diameter,p_time_step,p_iter_max,p_DataSet,p_parachute_cd,p_parachute_mass,p_parachute_diameter,burst_time_s,landing_time_s,burst_lat,burst_lon,burst_alt_m,land_lat,land_lon,land_alt_m,drift_m
68,2025-10-18 13:00,40.44653594041664,-104.63847169066946,1500,0.6,1.8264181943172348,1.8973403040533565,6.0,0.5,57600,gfs,1,0.1,1.22,0.0,0.0,40.44653594041664,-104.63847169066946,1500.0,40.44653594041664,-104.63847169066946,1500.0,0.0
69,2025-10-18 13:00,40.44667531906461,-104.63747791391262,1500,0.6,1.8275154918281986,2.0913995348659804,6.0,0.5,57600,gfs,1,0.1,1.22,6656.0,1767919499.0501127,40.12874611648734,-103.50709895857766,27382.619580717947,39.97677686089284,-103.1140685104901,1498.1954181510896,139512.35843701244
70,2025-10-18 13:00,40.44615511658585,-104.63749564193171,1500,0.6,1.7887325152885964,1.930242672051886,6.0,0.5,57600,gfs,1,0.1,1.22,17399.5,1767919510.3682265,39.13471494483891,-101.21995960473707,27778.51792950923,39.05452078508858,-100.85151031370029,1497.9987240626797,358712.09219295095
71,2025-10-18 13:00,40.44593691931602,-104.63754794636624,1500,0.6,1.811438194264969,1.9957389083124126,6.0,0.5,57600,gfs,1,0.1,1.22,11219.0,1767919515.8760474,39.73335772444588,-102.5803954693101,27614.85396479045,39.610153119553,-102.1624780309138,1499.2034404937808,230310.9509884879
72,2025-10-18 13:00,40.4456669708853,-104.63759343782071,1500,0.6,1.8056654281303766,2.012818167356576,6.0,0.5,57600,gfs,1,0.1,1.22,9731.5,1767919520.4460313,39.86402763049044,-102.89411922175319,27572.042024282367,39.727711821445624,-102.4888123898229,1499.9507838413049,199465.70501849655
73,2025-10-18 13:00,40.44562983913217,-104.63707498093261,1500,0.6,1.785582170322681,1.9499117346003654,6.0,0.5,57600,gfs,1,0.1,1.22,13636.0,1767919527.7684581,39.47938301875136,-101.98993959308163,27728.873205877582,39.36926389527625,-101.58247604619991,1496.6770160101887,286696.9434259798
74,2025-10-18 13:00,40.44582259402257,-104.63782323341245,1500,0.6,1.8768846159460946,2.0280917124952618,6.0,0.5,57600,gfs,1,0.1,1.22,15789.0,1767919537.0790498,39.27467456106835,-101.54585358585186,27533.557235580003,39.18369496123007,-101.1684727393038,1498.7219830697147,327840.98256951617
75,2025-10-18 13:00,40.44570097534268,-104.63733034387994,1500,0.6,1.8035919112592051,2.0564921544940007,6.0,0.5,57600,gfs,1,0.1,1.22,7344.5,1767919540.376281,40.080165073881666,-103.38096624787914,27465.48338424132,39.931317013397,-102.97873513790103,1498.5211111219464,152053.05738828797
76,2025-10-18 13:00,40.44602199292933,-104.63788978919463,1500,0.6,1.83335507051676,2.0297207025491857,6.0,0.5,57600,gfs,1,0.1,1.22,10436.0,1767919545.4620802,39.79450513159822,-102.74675047689195,27530.24795838496,39.660608956008005,-102.33792819464591,1499.336643488666,214346.7096699411
77,2025-10-18 13:00,40.4462753023056,-104.63704810140858,1500,0.6,1.75320707536044,1.9493951610468034,6.0,0.5,57600,gfs,1,0.1,1.22,10396.0,1767919550.4593637,39.803190118206096,-102.75297058516776,27729.604090586257,39.66743492170746,-102.33681696957873,1498.4351186116978,214061.72296548937
